Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
ABCP11;Shoppings;71,2;3,41%;2,63%;0,81;868.913.000;139.648;1;12.233,10;603,35;4,93%;12,00%
AFCR11;Híbrido;110,7;6,04%;5,28%;1,06;131.431.000;246.887;0;0;0;0,00%;0,00%
AFHI11;Títulos e Val. Mob.;91,5;0,03%;0,00%;0,95;163.572.000;586.590;0;0;0;0,00%;0,00%
AFOF11;Títulos e Val. Mob.;139;2,88%;0,00%;1,3;51.030.200;22.897;0;0;0;0,00%;0,00%
AIEC11;Lajes Corporativas;79,05;4,13%;2,73%;0,79;381.415.000;496.616;2;16.476,30;481,02;2,92%;0,00%
ALMI11;Lajes Corporativas;1.170,27;-0,99%;0,00%;0,57;130.107.000;76.760;1;2.877,89;113,21;3,93%;0,00%
ALZR11;Híbrido;119,77;4,22%;2,62%;1,17;536.508.000;1.709.670;12;6.786,89;243,94;3,59%;0,00%
ARCT11;Híbrido;100,49;2,43%;6,69%;0,99;160.540.000;847.541;4;345,4;43,2;12,51%;0,00%
ARRI11;Títulos e Val. Mob.;107,37;7,20%;4,39%;1,12;42.129.200;219.374;0;0;0;0,00%;0,00%
ATSA11;Shoppings;107;-1,11%;0,00%;1,09;187.372.000;3.260;1;5.665,55;-28,1;-0,50%;22,34%
BARI11;Títulos e Val. Mob.;103,29;6,44%;7,68%;1,01;478.666.000;2.265.420;0;0;0;0,00%;0,00%
BBFI11B;Lajes Corporativas;2.345,05;12,96%;6,68%;0,93;304.857.000;423.731;2;3.337,52;491,78;14,73%;38,49%
BBFO11;Títulos e Val. Mob.;76,6;1,82%;0,00%;0,82;306.699.000;120.423;0;0;0;0,00%;0,00%
BBPO11;Lajes Corporativas;114;7,70%;6,26%;1,14;1.814.840.000;1.931.360;63;4.558,85;437;9,59%;0,00%
BBRC11;Outros;110,6;10,62%;5,84%;0,98;175.854.000;181.597;20;10.970,70;1.341,97;12,23%;0,00%
BCFF11;Títulos e Val. Mob.;78,88;3,17%;3,99%;0,94;1.989.240.000;5.267.250;0;0;0;0,00%;0,00%
BCIA11;Títulos e Val. Mob.;91,21;4,81%;4,92%;0,83;339.213.000;687.210;0;0;0;0,00%;0,00%
BCRI11;Títulos e Val. Mob.;110,15;7,79%;5,38%;1,04;484.660.000;2.792.320;0;0;0;0,00%;0,00%
BICR11;Títulos e Val. Mob.;97,1;5,43%;1,57%;0,98;48.550.000;11.990;0;0;0;0,00%;0,00%
BLCP11;Outros;95;2,80%;2,76%;0,94;182.571.000;34.424;2;3.005,25;55,2;1,84%;44,93%
