Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
RCSL4;2,14;-27.043,50;-2,75;4,436;0,00%;2,912;-339,46;121,54;-1,91;118,51;73,38;3,65%;-0,01%;0,98;2,65%;0,01%;10.465.200,00;-59.065.000,00;0;786,20%
CSED3;14,72;-4.503,54;3,8;3,115;1,02%;1,183;6,51;27,43;-3,01;27,7;14,19;11,36%;-0,07%;2,6;5,87%;-0,08%;6.248.870,00;1.478.720.000,00;0,85;0,00%
SEQL3;29,1;-2.347,75;10,13;3,473;0,00%;2,501;21,36;103,77;-7,4;113,32;35,12;3,35%;-0,15%;1,39;3,31%;-0,43%;30.567.500,00;397.388.000,00;1,75;0,00%
SUZB3;59,2;-1.353,43;18,08;2,49;0,00%;0,771;8,33;8,37;-0,99;15,29;8,93;29,74%;-0,16%;2,08;10,37%;-1,34%;443.301.000,00;4.458.140.000,00;17,03;39,82%
SOMA3;16,09;-686,53;4,6;5,997;0,00%;3,079;8,57;5.649,67;14,25;5.528,73;75,28;0,11%;-0,87%;2,92;0,07%;-0,67%;39.617.500,00;1.700.030.000,00;0,19;0,00%
FHER3;16,5;-539,87;-5,71;0,346;0,00%;0,522;3,07;3,6;-0,86;3,7;3,33;9,60%;-0,06%;1,54;19,03%;1,06%;94.928.400,00;-155.575.000,00;-0,5;-22,12%
WEST3;10;-453,3;2,72;4,027;0,00%;2,068;3,12;-46,12;3,42;-30,86;-40,21;-8,73%;-0,89%;4,62;-23,24%;-0,60%;5.387.040,00;403.271.000,00;0,08;0,00%
DASA3;64;-412,4;9,94;4,406;0,39%;2,501;68,08;235,3;-5,81;263,92;40,93;1,87%;-1,02%;1,13;1,28%;-2,41%;22.126.800,00;3.527.320.000,00;1,65;24,16%
YDUQ3;32,77;-382,48;3,11;2,524;1,43%;1,05;5,47;38,03;-3,05;49,87;15,33;6,64%;-0,66%;2,52;3,64%;-0,81%;82.649.200,00;3.257.040.000,00;1,6;4,74%
MAPT4;47;-280,47;-7,43;0;0,00%;55,877;-1.107,51;-324,76;-6,56;-324,76;-324,76;0,00%;0,00%;0;-18,10%;2,65%;2.550,80;-5.811.000,00;0;0,00%
DMVF3;9,45;-233,61;0,58;0,489;0,00%;0,332;3,59;6,5;-3,01;5,95;2,86;7,52%;-0,21%;1,41;6,40%;-0,25%;2.754.100,00;827.695.000,00;0,13;0,00%
TCNO3;5,29;-230,39;318,36;0;0,00%;0,149;-0,36;-10,52;-0,18;-20,6;-23,17;0,00%;0,00%;0,29;-1,91%;-138,18%;1.909.810,00;110.000,00;304,96;-56,39%
TCNO4;4,37;-190,33;263;0;0,00%;0,123;-0,29;-8,69;-0,15;-18,77;-21,11;0,00%;0,00%;0,29;-1,91%;-138,18%;2.653.280,00;110.000,00;304,96;-56,39%
NORD3;19,5;-146,22;-0,92;79,354;0,00%;7,462;-2,77;-139,88;-0,83;-180,25;-180,25;-56,73%;-54,27%;0,03;-5,40%;0,63%;15.383,00;-140.225.000,00;-0,27;79,64%
BTOW3;66,71;-140,25;4,05;3,286;0,00%;1,904;5,15;112,07;17,57;105,22;37,1;2,93%;-2,34%;2,38;4,03%;-2,89%;190.736.000,00;9.231.500.000,00;0,55;6,34%
GUAR3;20,5;-121,03;2,08;1,745;2,13%;0,766;2,96;-38,22;-40,23;-42,37;43,63;-4,57%;-1,44%;1,73;-2,79%;-1,72%;15.719.000,00;4.927.370.000,00;0,78;1,20%
LINX3;37,4;-90,95;4,38;7,885;1,52%;2,745;11,96;53,17;47,06;51,49;22,97;14,83%;-8,67%;2,14;6,82%;-4,81%;53.000.000,00;1.619.010.000,00;0,22;15,54%
